Date:,Time:,Temperature (F):,Weather:,Classes:,Ate:,Exercise:
2026-05-27,10:20,62,windy,0,1,no
2026-05-27,14:48,62,windy,2,1,no
2026-05-27,20:00,56,night ,2,1,no
2026-05-27,21:30,55,night,2,1,no
2026-05-28,7:20,58,sunny,0,0,no
2026-05-28,15:23,62,cloudy,3,1,no
2026-05-28,20:33,58,night,3,1,no
2026-05-28,23:50,56,night,3,1,no
2026-05-29,7:55,56,sunny,0,0,no
2026-05-29,8:30,57,sunny,0,1,no
2026-05-29,16:44,71,sunny,2,1,no
2026-05-29,18:30,69,sunny,2,2,no
2026-05-30,12:11,67,sunny,0,0,yes
2026-05-30,1:00,69,sunny,0,1,yes
2026-05-30,17:35,72,sunny,0,1,no
2026-05-30,22:17,62,night,0,2,yes
2026-05-31,12:14,70,sunny,0,0,no
2026-05-31,13:00,72,sunny,0,1,no
2026-05-31,22:28,62,night,0,1,yes
2026-05-31,23:00,61,night,0,2,yes
2026-06-01,9:54,65,cloudy,0,0,no
2026-06-01,10:30,65,cloudy,0,1,no
2026-06-01,16:30,68,sunny,0,1,no
2026-06-01,17:30,67,sunny,0,2,no
2026-06-01,22:00,60,night,0,2,no
2026-06-02,7:30,62,cloudy,1,1,no
2026-06-02,11:37,65,cloudy,1,1,no
2026-06-02,18:18,69,sunny,2,2,no
2026-06-02,23:15,60,night ,2,2,no
2026-06-03,0:00,60,night,0,0,no
2026-06-03,10:09,64,cloudy,0,0,no
2026-06-03,10:30,65,cloudy,0,1,no
2026-06-03,16:33,67,sunny,1,1,no
2026-06-03,20:30,62,night,1,2,no
2026-06-04,8:15,62,cloudy,0,0,no
2026-06-04,8:30,63,cloudy,0,1,no
